田舎に人はいなかった,いなか に ひとは いなかった
営業に行かなくてえいぎょう,えいぎょう に いかなくて えいぎょう
# 英語で考えいごと,えいご で かんがえいごと
# 英雄が入るええ湯,えいゆう が はいる ええ ゆ
# 栄養は体にえーよー,えいよう は からだ に えーよー
# 英和辞典はええわー,えいわ じてん は ええわー
# エースでえーっすか？,エース で えーっすか？
A4でえーよん,えー よん で えー よん
# 液晶はええ希少です,えきしょう は ええ きしょう です
# エコーを使ってえこー,エコー を つかって えこー
エサの絵さ,エサ の え さ
# 越後だけにエッチ語好き,えちご だけに エッチ ご すき
エビアンだけにトレビアン,エビアン だけに トレビアン
エロい人がえろえろいる,エロい ひと が えろえろ いる
円は海外では使えん,えん は かいがい では つかえん
# 演歌うたってええんか,えんか うたって ええんか
# 宴会開いてええんかい,えんかい ひらいて ええん かい
園児のエンジン,えんじ の エンジン
おいもとメロンを追い求めろん,おいもと メロン を おい もとめろん
オーダーがたくさんあって大助かり,オーダー が たくさん あって おおだすかり
# 大雨の雨粒をなめると「おお、あめー」,おおあめ の あまつぶ を なめると「おお、あめー」
オオカミがトイレで「おお、紙がない」,オオカミ が トイレで「おお、かみ が ない」
大晦日に味噌料理「おお、味噌か」,おおみそか に みそ りょうり「おお、みそか」
お菓子を作るのに失敗をおかした,おかし を つくる のに しっぱい を おかした
お金はおっかねー,おかね は おっかねー
# オカリナが壊れたみたいだ。おっかりーなー,オカリナ が こわれた みたい だ。おっかりーなー
オカンがすごくおかんむり,オカン が すごく おかんむり
# 屋上にものをおいておくじょー,おくじょう に もの を おいて おく じょー
この桶でオッケー,この おけ で オッケー
# オケラになってもオッケーらぜ,オケラ に なって も オッケー らぜ
お香をあそこに置こう,おこう を あそこ に おこう
和尚さんが二人いる。おしょうがツー,おしょう さん が ふたり いる。おしょう が つー
汚職があったなんて「おおショック」,おしょく が あった なんて「おお ショック」
おじさんが、お、持参,おじさん が、お、じさん
# お世話をするのがおせーわ,おせわ を する のが おせーわ
おっちゃんがお茶飲む,おっちゃん が おちゃ のむ
夫にしてもらおっと,おっと に して もらおっと
オットセイを水の中におっとせい,オットセイ を みず の なか に おっとせい
大人だけにおとなしい,おとな だけ に おとなしい
# 斧をなくした「オー、ノー」,おの を なくした「オー、ノー」
おばちゃんが水に落ちて、お、ばちゃん,おばちゃん が みず に おちて、お、ばちゃん
思い出は思いで,おもいで は おもいで
# おもちゃをもっちゃおう,おもちゃ を もっちゃおう
おやじギャグをいうなんて、おや、自虐？,おやじ ギャグ を いう なんて、おや、じぎゃく？
お山に行った「おやまあ」,おやま に いった「おやまあ」
# オラの鉛筆をおらないで,オラ の えんぴつ を おらないで
オランダの田舎には誰もおらんだ,オランダ の いなか には だれ も おらんだ
温泉行ったあとにおんせん不通になった,おんせん いった あと に おんせん ふつう に なった
女がいっぱいおんな,おんな が いっぱい おんな
# 音頭なんてやっておんどうにいいのかな？,おんど なんて やって おんどう に いい のかな？
怨念がおんねん,おんねん が おんねん
